3
establish|1:7,18,55|1.2656|3.0000
unit|2:138|0.6155|3.0000
narayan|0:133|0.6180|3.0000
visit|0:63|0.6180|3.0000
two|0:33|0.6180|3.0000
arabian|2:31|0.6155|3.0000
asset|0:96|0.6180|3.0000
6|1:37|0.4219|3.0000
iit|1:3,20,30,53,64|2.1094|3.0000
parliament|1:58|0.4219|3.0000
india|0:3,19,37,91;1:9,13,19,28,43;2:0,3,52,57,159,180,203,239,252,273|2.4721,2.1094,6.1553|1.0000
examin|1:81|0.4219|3.0000
compani|2:160|0.6155|3.0000
religi|0:5,50,77|1.8541|3.0000
1995|1:62,74|0.8438|3.0000
1994|1:56|0.4219|3.0000
1998|1:83|0.4219|3.0000
histori|1:29|0.4219|3.0000
era|2:120|0.6155|3.0000
inadequ|2:220|0.6155|3.0000
root|1:33|0.4219|3.0000
process|1:76|0.4219|3.0000
challeng|0:8;2:216|0.6180,0.6155|1.5000
share|2:37,61|1.2311|3.0000
accept|1:87|0.4219|3.0000
sikh|0:46|0.6180|3.0000
goal|0:89|0.6180|3.0000
occur|2:91|0.6155|3.0000
parliamentari|2:244|0.6155|3.0000
democraci|2:25|0.6155|3.0000
gate|1:93|0.4219|3.0000
undertook|0:71|0.6180|3.0000
polit|2:102|0.6155|3.0000
maurya|2:107|0.6155|3.0000
recogn|2:254|0.6155|3.0000
ethnic|2:265|0.6155|3.0000
associ|2:84|0.6155|3.0000
grow|2:206|0.6155|3.0000
nicobar|2:59|0.6155|3.0000
attempt|0:66|0.6180|3.0000
third|2:191|0.6155|3.0000
18th|2:148|0.6155|3.0000
offici|0:58;1:22;2:1|0.6180,0.4219,0.6155|1.0000
through|1:78,92|0.8438|3.0000
economi|2:185,208|1.2311|3.0000
islam|2:124|0.6155|3.0000
1|1:63;2:20|0.4219,0.6155|1.5000
29|2:247|0.6155|3.0000
late|2:169|0.6155|3.0000
2017|2:183|0.6155|3.0000
them|0:109|0.6180|3.0000
sentenc|0:144|0.6180|3.0000
nation|0:12;1:25;2:238|0.6180,0.4219,0.6155|1.0000
mention|1:44|0.4219|3.0000
17th|2:144|0.6155|3.0000
malnutrit|2:219|0.6155|3.0000
separ|0:14|0.6180|3.0000
accommod|0:105|0.6180|3.0000
januari|0:83,117|1.2361|3.0000
healthcar|2:222|0.6155|3.0000
mediev|2:119|0.6155|3.0000
continu|2:214|0.6155|3.0000
out|0:18,53,93|1.8541|3.0000
vijayanagara|2:140|0.6155|3.0000
3rd|2:73|0.6155|3.0000
influenc|2:114|0.6155|3.0000
newli|2:210|0.6155|3.0000
nepal|2:43|0.6155|3.0000
millennium|2:74,81,94|1.8466|3.0000
7|1:82;2:249|0.4219,0.6155|1.5000
plural|0:6|0.6180|3.0000
seventh|2:12|0.6155|3.0000
base|0:4;2:199|0.6180,0.6155|1.5000
earliest|2:77|0.6155|3.0000
british|0:27;2:157,163|0.6180,1.2311|1.5000
place|2:105|0.6155|3.0000
south|2:10,30,137|1.8466|3.0000
first|1:67,84;2:93|0.8438,0.6155|1.5000
major|0:36,39;2:207|1.2361,0.6155|1.5000
independ|0:2,26,60;2:181|1.8541,0.6155|1.5000
rank|2:233|0.6155|3.0000
facil|1:48|0.4219|3.0000
given|0:142|0.6180|3.0000
nomin|2:189|0.6155|3.0000
lanka|2:55|0.6155|3.0000
system|2:245|0.6155|3.0000
cash|0:95|0.6180|3.0000
2|2:21|0.6155|3.0000
master|1:89|0.4219|3.0000
too|0:104|0.6180|3.0000
expenditur|2:236|0.6155|3.0000
west|2:41|0.6155|3.0000
urban|2:69,90|1.2311|3.0000
especi|0:54|0.6180|3.0000
took|2:104|0.6155|3.0000
11|0:41|0.6180|3.0000
wide|2:253,255|1.2311|3.0000
13|0:107,124|1.2361|3.0000
12|0:82,86,99,106|2.4721|3.0000
vicin|2:53|0.6155|3.0000
16|2:196|0.6155|3.0000
provid|0:67|0.6180|3.0000
asean|2:275|0.6155|3.0000
rat|2:5|0.6155|3.0000
border|2:39,63|1.2311|3.0000
bengal|0:56;2:35|0.6180,0.6155|1.5000
note|2:176|0.6155|3.0000
chest|0:123|0.6180|3.0000
divers|2:130,268|1.2311|3.0000
wildlif|2:260,269|1.2311|3.0000
trace|1:32|0.4219|3.0000
undertaken|0:81|0.6180|3.0000
78|0:85|0.6180|3.0000
indu|2:70|0.6155|3.0000
later|2:110,161,172|1.8466|3.0000
face|2:215|0.6155|3.0000
came|2:151|0.6155|3.0000
multilingu|2:263|0.6155|3.0000
nonviol|2:177|0.6155|3.0000
empir|0:29;2:109,141,147,154|0.6180,2.4621|1.5000
fifth|2:234|0.6155|3.0000
consolid|2:103|0.6155|3.0000
northeast|2:45|0.6155|3.0000
locat|1:10|0.4219|3.0000
19th|2:155,170|1.2311|3.0000
stand|2:230|0.6155|3.0000
rich|2:257|0.6155|3.0000
over|2:19|0.6155|3.0000
10|0:20,30|1.2361|3.0000
stop|0:76|0.6180|3.0000
joint|1:79|0.4219|3.0000
fastest|2:205|0.6155|3.0000
19|2:79|0.6155|3.0000
varieti|2:270|0.6155|3.0000
partit|0:31|0.6180|3.0000
vision|0:1|0.6180|3.0000
bai|2:34|0.6155|3.0000
set|1:51|0.4219|3.0000
resist|2:178|0.6155|3.0000
sea|2:32|0.6155|3.0000
corrupt|2:218|0.6155|3.0000
led|2:179|0.6155|3.0000
entranc|1:80|0.4219|3.0000
aros|2:100|0.6155|3.0000
reform|2:201|0.6155|3.0000
nuclear|2:223|0.6155|3.0000
state|1:11;2:225,248|0.4219,1.2311|1.5000
import|1:26|0.4219|3.0000
accord|1:36|0.4219|3.0000
august|0:22|0.6180|3.0000
southeast|2:36,117|1.2311|3.0000
popul|2:17,24|1.2311|3.0000
zoroastrian|2:122|0.6155|3.0000
protect|2:271|0.6155|3.0000
last|0:79|0.6180|3.0000
sultan|2:136|0.6155|3.0000
howev|0:7;2:213|0.6180,0.6155|1.5000
admit|1:66|0.4219|3.0000
mani|0:42,127,139|1.8541|3.0000
pakistan|0:40,98;2:40|1.2361,0.6155|1.5000
co|0:128,131|1.2361|3.0000
arriv|2:125|0.6155|3.0000
commenc|1:61|0.4219|3.0000
nationalist|0:113;2:166|0.6180,0.6155|1.5000
union|1:41;2:250|0.4219,0.6155|1.5000
hindu|0:35,44,112|1.8541|3.0000
territori|2:251|0.6155|3.0000
three|0:120|0.6180|3.0000
much|2:132|0.6155|3.0000
fire|0:119|0.6180|3.0000
nathuram|0:110|0.6180|3.0000
demand|0:13|0.6180|3.0000
educ|1:47|0.4219|3.0000
multi|2:264|0.6155|3.0000
these|0:80|0.6180|3.0000
batch|1:68,85|0.8438|3.0000
while|0:138|0.6180|3.0000
unifi|2:143|0.6155|3.0000
shift|2:162|0.6155|3.0000
scriptur|2:83|0.6155|3.0000
region|2:129,226|1.2311|3.0000
kingdom|2:113|0.6155|3.0000
purchas|2:193|0.6155|3.0000
lush|2:259|0.6155|3.0000
centuri|2:145,149,171|1.8466|3.0000
sever|0:72|0.6180|3.0000
grant|0:25|0.6180|3.0000
began|2:86|0.6155|3.0000
econom|2:200|0.6155|3.0000
same|1:77|0.4219|3.0000
member|2:274|0.6155|3.0000
buddhism|2:98|0.6155|3.0000
andaman|2:58|0.6155|3.0000
mahatma|2:174|0.6155|3.0000
largest|2:13,188,192,229|2.4621|3.0000
pai|0:92|0.6180|3.0000
eventu|0:21|0.6180|3.0000
sikhism|2:126|0.6155|3.0000
student|1:40,69,86|1.2656|3.0000
countri|2:9,14,18,142,212|3.0776|3.0000
civilis|2:72|0.6155|3.0000
weapon|2:224|0.6155|3.0000
indonesia|2:65|0.6155|3.0000
ocean|2:29,51|1.2311|3.0000
thought|0:102|0.6180|3.0000
programm|1:60,73|0.8438|3.0000
academ|1:59|0.4219|3.0000
gdp|2:190|0.6155|3.0000
violenc|0:51,78|1.2361|3.0000
execut|0:137|0.6180|3.0000
among|0:108;2:237|0.6180,0.6155|1.5000
gods|0:111|0.6180|3.0000
collabor|0:130|0.6180|3.0000
subcontin|2:67,150|1.2311|3.0000
unto|0:74|0.6180|3.0000
death|0:75|0.6180|3.0000
bhutan|2:44|0.6155|3.0000
had|0:87|0.6180|3.0000
peninsular|2:111|0.6155|3.0000
homeland|0:16|0.6180|3.0000
prison|0:143|0.6180|3.0000
east|2:49,158|1.2311|3.0000
earli|0:9;2:101|0.6180,0.6155|1.5000
delhi|0:61;2:135|0.6180,0.6155|1.5000
world|2:26,76,186,232|2.4621|3.0000
specif|1:50|0.4219|3.0000
republ|2:2,241|1.2311|3.0000
gandhi|0:0,62,103,115;2:175|2.4721,0.6155|1.5000
jya|2:8|0.6155|3.0000
habitat|2:272|0.6155|3.0000
captur|0:125|0.6180|3.0000
some|0:94,100|1.2361|3.0000
pariti|2:195|0.6155|3.0000
home|2:68,267|1.2311|3.0000
indirect|0:88|0.6180|3.0000
scale|2:89|0.6155|3.0000
feder|2:240|0.6155|3.0000
lead|2:96|0.6155|3.0000
larg|2:88|0.6155|3.0000
market|2:198|0.6155|3.0000
recognis|1:23|0.4219|3.0000
convict|0:136|0.6180|3.0000
plu|2:276|0.6155|3.0000
power|2:194,227|1.2311|3.0000
sixth|1:14;2:187|0.4219,0.6155|1.5000
bh|2:4|0.6155|3.0000
pluralist|2:262|0.6155|3.0000
thailand|2:64|0.6155|3.0000
island|2:60|0.6155|3.0000
sri|2:54|0.6155|3.0000
dominion|0:34|0.6180|3.0000
act|1:57|0.4219|3.0000
ow|0:97|0.6180|3.0000
assassin|0:114|0.6180|3.0000
burma|2:47|0.6155|3.0000
societi|2:266|0.6155|3.0000
civil|2:78|0.6155|3.0000
into|0:32,122;1:70,88|1.2361,0.8438|1.5000
cuisin|2:258|0.6155|3.0000
bound|2:27|0.6155|3.0000
compos|2:87|0.6155|3.0000
1985|1:34|0.4219|3.0000
institut|1:1,6,16,24|1.6875|3.0000
bangladesh|2:48|0.6155|3.0000
wai|0:48|0.6180|3.0000
area|0:65;2:15|0.6180,0.6155|1.5000
vallei|2:71|0.6155|3.0000
fast|0:73|0.6180|3.0000
mahajanapada|2:97|0.6155|3.0000
select|1:75|0.4219|3.0000
north|2:133|0.6155|3.0000
solac|0:68|0.6180|3.0000
crown|2:164|0.6155|3.0000
armi|2:231|0.6155|3.0000
mughal|2:146|0.6155|3.0000
made|0:47|0.6180|3.0000
consist|2:246|0.6155|3.0000
displac|0:43|0.6180|3.0000
veget|2:261|0.6155|3.0000
up|1:52|0.4219|3.0000
eschew|0:57|0.6180|3.0000
ad|2:128|0.6155|3.0000
cinema|2:256|0.6155|3.0000
britain|0:24|0.6180|3.0000
ar|2:7|0.6155|3.0000
cultur|2:115,131|1.2311|3.0000
improv|1:46|0.4219|3.0000
other|0:140|0.6180|3.0000
peopl|2:23|0.6155|3.0000
jainism|2:99|0.6155|3.0000
poverti|2:217|0.6155|3.0000
fell|2:134|0.6155|3.0000
consid|2:209|0.6155|3.0000
billion|2:22|0.6155|3.0000
land|0:49;2:38|0.6180,0.6155|1.5000
bullet|0:121|0.6180|3.0000
bce|2:75,95|1.2311|3.0000
rule|2:165|0.6155|3.0000
emerg|2:127,168|1.2311|3.0000
